OBJECTID,name,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_ANGLE,tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jumlah_luas_wilayah_(km2),jumlah_kepadatan_(jiwa/km2),jumlah_populasi_(jiwa/km2)
1217,KB-TK-SD-SMP-SMK Strada,63,365.7144871,106.839069,-6.166031906,-29.86633289,2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,1.53,16179.62116,24755
1218,"Yayasan Pendidikan Islam Al Akhyar SD, SMP, SMK",141,3393.375458,106.9453213,-6.212536514,-179.9626714,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,9.81,7620.703785,74759
1219,MI Negeri 18 Jakarta,165,2679.913124,106.8656637,-6.306620974,11.23289407,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,2.38,21699.03931,51644
1220,SDIT Al Manar,139,4058.775536,106.9305735,-6.216710867,-13.15383879,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,5.72,15634.01206,89427
1221,Netherland Inter Community School,73,1567.812909,106.82356,-6.29112304,105.6906749,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,3.53,8988.544207,31730
1222,"Yayasan Mitra Pembangunan - MI & Mts Darussa'adah, SMK Mitra Pembangunan",74,1346.396308,106.826216,-6.285573218,120.6037921,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,3.53,8988.544207,31730
1223,MTs Nurul Huda,71,1405.895474,106.8188293,-6.305746265,-43.41274723,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,2.26,24765.48673,55970
1224,SD Negeri Jagakarsa 04 Pagi,71,2420.588188,106.8188293,-6.305746265,-28.75328864,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,4.85,15987.83505,77541
1225,SLBC Autis Mandiri,181,221.1238056,106.7816862,-6.256972009,-166.438092,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,2.57,19666.04463,50542
1226,SD Islam Ak Azhar 2,73,1410.215615,106.82356,-6.29112304,-63.01649136,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,2.5,18691.59627,46729
1227,Sekolah Kristen IPEKA,171,784.4998923,106.7753767,-6.163461482,-31.11467055,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,3.87,19114.21189,73972
1228,MTs Negeri 8,12,2506.428138,106.7059245,-6.154522135,0.810810831,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.91,16641.62437,98352
1229,SD Negeri Utan Kayu Selatan 09 Pagi,24,351.0225813,106.8737352,-6.205462976,46.27783016,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,1.12,36880.23525,41306
1230,Yayasan Islam Yasmar Al Hidayah,120,578.6794265,106.8187542,-6.305476197,86.7961466,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,3.53,8988.544207,31730
1231,"SD Negeri Rawa Buaya 07 Pagi, 08 Pagi",16,1136.628162,106.7305784,-6.154845302,-13.85547059,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.07,19734.087,80318
1232,Madrasah Al Mashiriah,16,1567.279183,106.7305784,-6.154845302,-10.51040829,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.07,19734.087,80318
1233,MI Al-Mashriyyah,16,1504.785443,106.7305784,-6.154845302,-10.25943776,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.07,19734.087,80318
1234,SDI Al Achfas Dwi Matra,72,1486.139603,106.822112,-6.294661033,89.97322658,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,3.53,8988.544207,31730
1235,Yayasan Kartini Borobudur - SD-SMP-SMA-SMEA-STMIK,120,608.4093853,106.8187542,-6.305476197,79.07263357,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,3.53,8988.544207,31730
1236,SD Negeri Cilandak Timur 01 Pagi,120,567.7583282,106.8187542,-6.305476197,81.90236978,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,3.53,8988.544207,31730
