"nama_kelurahan","total_pop","prod_age_perc","age_under20","age_productive","age_above60"
"CIJANTUNG",52022,0.597650993810311,16743,31091,4188
"KALISARI",54833,0.592234603249868,18036,32474,4323
"PEKAYON",55329,0.593612752805943,18460,32844,4025
"JATINEGARA",107952,0.604639098858752,36618,65272,6062
"RAWA TERATE",31551,0.600329625051504,10676,18941,1934
"PENGGILINGAN",129532,0.589035913905444,44632,76299,8601
"CAKUNG TIMUR",75842,0.591756546504575,26036,44880,4926
"PULO GEBANG",124804,0.590894522611455,41666,73746,9392
"UJUNG MENTENG",38355,0.589988267500978,12927,22629,2799
"CAKUNG BARAT",74947,0.597582291485983,26505,44787,3655
"DUREN SAWIT",76558,0.58569973092296,24461,44840,7257
"PONDOK BAMBU",77415,0.589472324484919,24766,45634,7015
"KLENDER",88955,0.584272946995672,29781,51974,7200
"PONDOK KELAPA",90973,0.582920207094413,29355,53030,8588
"MALAKA SARI",33523,0.578080720699221,10182,19379,3962
"MALAKA JAYA",37824,0.580848138747885,11874,21970,3980
"PONDOK KOPI",44869,0.585950210613118,14602,26291,3976
"MAKASAR",43658,0.58527646708507,14222,25552,3884
"PINANG RANTI",34906,0.592620179911763,11739,20686,2481
"KEBON PALA",58677,0.598820662269714,18830,35137,4710
"HALIM PERDANA KUSUMAH",35565,0.613215239701954,11770,21809,1986
"CIPINANG MELAYU",53140,0.587410613473843,16861,31215,5064
"CIRACAS",82918,0.595250729636508,27445,49357,6116
"CIBUBUR",83581,0.587154975413072,27421,49075,7085
"KELAPA DUA WETAN",59297,0.588141052667083,19321,34875,5101
"SUSUKAN",48613,0.594861456811964,16070,28918,3625
"RAMBUTAN",47064,0.588390277069522,15886,27692,3486
"CIPAYUNG",33046,0.602554015614598,10465,19912,2669
"CILANGKAP",35634,0.601588370657237,12141,21437,2056
"PONDOK RANGGON",32925,0.593378891419894,11241,19537,2147
"MUNJUL",30517,0.588884883835239,10275,17971,2271
"SETU",26539,0.587475036738385,9102,15591,1846
"BAMBU APUS",33575,0.591660461653016,11145,19865,2565
"LUBANG BUAYA",81289,0.590559608311088,27189,48006,6094
"CEGER",23834,0.595955357892087,7873,14204,1757
