OID_,x,y,fid_1,dist_1,ang_1,fid_2,dist_2,ang_2,fid_3,dist_3,ang_3,fid_4,dist_4,ang_4,fid_5,dist_5,ang_5,fid_6,dist_6,ang_6,fid_7,dist_7,ang_7,fid_8,dist_8,ang_8,fid_9,dist_9,ang_9,fid_0,dist_0,ang_0
275,106.664996140837005,-6.164999967922960,1,16725.702102827490307,79.966700119077245,1,16458.205123781281145,115.566435352023902,1,16455.513530687821913,115.495821158697552,1,14552.344860005710871,96.367042331583121,1,14565.195875158029594,96.446029502639647,1,18497.672106085559790,102.997113056308351,1,23369.439355510599853,99.722807539188267,1,21243.346675844688434,100.275131722134816,1,18755.783689558535116,78.674335703670252,1,4571.031736671904582,76.084108039988024
276,106.674996140570002,-6.164999967922960,1,15637.019907246723960,79.259032071701469,1,15467.149319302579897,117.334979504164764,1,15463.833414090191582,117.260182135789478,1,13452.930683661994408,96.888682840265204,1,13465.965302657556094,96.973615893275976,1,17421.002991863333591,103.814706960663898,1,22271.526697895056714,93.396974269542170,1,20155.262152501942182,100.835261501679298,1,17671.383591316454840,78.113055343290227,1,3506.836744853027085,71.729714023164021
277,106.684996140302999,-6.164999967922960,1,14551.075823038450835,78.445678177160445,1,14492.847156898991670,119.343519209939643,1,14488.826089499734735,119.264199207085426,1,12354.832824806797362,97.503204588983166,1,12368.082243887645745,97.595023565331203,1,16348.353405779760578,104.739869430344200,1,21166.772700185912981,93.573393887407391,1,19069.327856757452537,101.459313137026214,1,16588.102007175519248,78.322267625323178,1,2480.228666365919253,63.686404114527335
278,106.694996140035997,-6.164999967922960,1,13468.531930839271809,77.501446245752931,1,13538.915835904690539,121.638338849545448,1,13534.095186133261450,121.554175873670886,1,11258.436202028968182,98.237619781812739,1,11271.940196644785829,98.337495948029741,1,15280.569610646354704,105.794713731450997,1,20062.242728997352970,93.769300356860782,1,17985.933028436338645,102.158701726832334,1,15505.831937191846009,77.493336616058016,1,1566.914406652949992,45.437836021273974
279,106.704996139768994,-6.164999967922960,1,12390.269773598667598,76.464885962799372,1,12609.979421551721316,124.276118175795773,1,12604.249286558395397,124.186854095803866,1,10164.291500327046379,99.130438823648234,1,10178.101822821698079,99.239850758264041,1,14218.747998180198920,107.007649460062012,1,18957.976071299515752,93.988094626060715,1,16905.566030656307703,102.947680026524779,1,14427.289087065302738,76.540324040676495,1,995.341722775533526,6.672626474099107
280,106.714996139502006,-6.164999967922960,1,11315.771629781867887,75.512515050052315,1,11711.986839245699230,127.325806278535680,1,11704.917693942470578,127.200431987367196,1,9073.213438613091057,100.238441028611135,1,9087.399031453438511,100.359278909563514,1,13164.331358684974475,108.415694320001066,1,17854.005018255338655,94.155962992529126,1,15828.846851946120296,103.844258421679640,1,13334.604994152710788,81.501162588042476,1,1034.574682604128839,-8.386125450536090
281,106.724996139235003,-6.164999967922960,1,10245.221306540361184,75.775898842208235,1,10814.623355516008814,93.702498989268520,1,10843.983877926299101,130.737251771072124,1,7986.459080905414339,101.648785995012162,1,8001.114351218505362,101.783489442081901,1,12119.252724993877564,110.067819490600527,1,16750.114983407249383,94.154887144979199,1,14756.574114925371759,104.871496406701738,1,12241.053876618343565,80.734394209106355,1,1172.099718938385422,11.763465161876290
282,106.734996138967006,-6.164999967922960,1,9175.341558827969493,74.410700551680534,1,9710.396003693085731,94.123087959950979,1,10031.380222052002864,134.865160223272966,1,6906.069623690326807,103.502006019238650,1,6921.328060633139103,103.653723145035045,1,11086.153022282524034,112.029859989579620,1,15646.244398030567027,94.247831295003593,1,13689.792442182426385,106.059347803994854,1,11150.121068003707478,79.817497110288130,1,1097.284465456708858,3.000441059624183
283,106.744996138700003,-6.164999967922960,1,8102.705523048655778,75.526841891769465,1,8606.827823369059843,94.651705592127527,1,9279.331529148948903,139.644389281897588,1,5835.581468346689689,106.038870363190355,1,5851.638823982340000,106.211540532602413,1,10068.720353565006008,114.391794370875814,1,14542.715287829207227,94.569710534741532,1,12629.893450762750945,107.447342129447279,1,10062.658333717154164,78.702200602994651,1,1035.857171485968593,5.875740532595459
284,106.754996138433000,-6.164999967922960,1,7027.470886747723853,77.592441971330999,1,7504.209743895370593,95.335897600087833,1,8603.912308035818569,145.174450950306948,1,4781.649289896187838,109.704369825153790,1,4798.803629565698429,109.902251984524412,1,9072.227432068279086,117.278572909952118,1,13439.722406723187305,94.944524503395769,1,11578.767483801128037,109.088555544352531,1,8979.926541320894103,77.317450902073574,1,845.961718200905011,95.184305677437706
